,Hotel Name,Address,Rating (5),Price (2)
346,Orange Coconut Wine & Dine,DT South West Chennai,4.3,1300
347,Dindigul Thalappakatti,TT South West Chennai,4.3,700
348,Palmshore,PM South West Chennai,4.3,1000
349,Dindigul Thalappakatti,TM South West Chennai,4.1,700
350,Le Wrap Factorie,FM South West Chennai,4.7,300
351,The Cascade,CM South West Chennai,4.0,800
352,Express By A,AB South West Chennai,4.8,600
353,Jugo Cafe,CM South West Chennai,4.3,700
354,Cold Stone Creamery,"CE Coast Road, South Chennai",4.6,400
355,Orange Wok,WC South West Chennai,4.1,1000
356,Sian,"SV Chennai,Sholinganallur, South West Chennai",4.3,1800
357,N,"NI Asian Bar & CafeNovotel Chennai OMR,Sholinganallur, South West Chennai",4.3,2500
358,Mynt,"MV Chennai,Sholinganallur, South West Chennai",4.0,2000
359,The Square,"SN Chennai OMR,Sholinganallur, South West Chennai",4.1,2500
360,Barbeque Nation,NC South West Chennai,4.0,1800
361,Delhi Dhaba,DA South Chennai,4.0,800
362,Delhi Highway,HS South West Chennai,4.1,1000
363,Hola,HC South West Chennai,4.0,1200
364,Dindigul Thalappakatti,TS South Chennai,4.0,700
365,Kipling Cafe,"CE Coast Road, South Chennai",4.2,1600
366,Tuscana Pizzeria,PA South Chennai,4.2,1200
367,Dindigul Thalappakatti,TP West Chennai,4.1,700
368,Prive Restaurant,"RE Coast Road, South Chennai",4.3,1200
369,Tibbs Frankie,"FT East, South West Chennai",4.5,200
370,Madras Coffee House,"HT East, South West Chennai",4.5,200
371,Gossip Fusion Bistro & Dessert Bar,BU South Chennai,4.5,1500
372,Robot,RS South West Chennai,4.1,1200
373,Regos Cafe,"CT West, South West Chennai",4.8,400
374,Coal Barbecues,BN South West Chennai,4.1,1800
375,ABs - Absolute Barbecues,"BV Mall,Navalur, South West Chennai",4.2,1800
376,Frozen Bottle,"BO Food Street,Navalur, South West Chennai",4.5,400
377,Sulthan's Biryani,"BO Food Street,Navalur, South West Chennai",4.2,700
378,Buttons Cupcakes,"CT Marina Mall,Egattur, South West Chennai",5.0,300
379,Orange Wok,"WT Marina Mall,Egattur, South West Chennai",4.2,1000
380,The Square,"SN Chennai Sipcot Hotel,Egattur, South West Chennai",4.2,2500
381,Dindigul Thalappakatti,TV South West Chennai,4.0,700
382,Dindigul Thalappakatti,TP South West Chennai,4.0,700
383,Kulfi Bitz,"BO Food Street,GST Road, South West Chennai",5.0,300
384,Pelican Deck,"DS Grand Chennai Resort & Spa,Mahabalipuram, South Chennai",5.0,3000
385,The Reef,"RS Grand Chennai Resort & Spa,Mahabalipuram, South Chennai",4.3,1800
386,Tao of Peng,"PI Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai",4.5,4000
