,Hotel Name,Address,Rating (5),Price (2)
303,Slounge,"SL Tree Hotel Shimona,Manapakkam, West Chennai",4.2,1200
304,Bronx,"BH Manhattan,Mylapore, Central Chennai",5.0,1100
305,Skyloft,"SF - A Radha Hotel,Manapakkam, West Chennai",4.4,1500
306,Champions Bar,"BM Inn,Egmore, North Chennai",4.0,1000
307,Cafe Arabica,"AA Nagar, North Chennai",4.2,800
308,Juice Forest,"FA Nagar, North Chennai",4.0,300
309,Khandani Rajdhani,"RP Market City,Velachery, South West Chennai",4.0,1200
310,P,"PU DA DHABAThe Pride Hotel,Kilpauk, North Chennai",3.3,1300
311,Bombay Halwa house - Kellys,"KW Palace,Kilpauk, North Chennai",3.8,600
312,Smoke Hub Barbeque,BP West Chennai,3.7,1800
313,Cold Stone Creamery,"CA Nagar, North Chennai",5.0,400
314,The Cycle Gap,"GA Nagar, North Chennai",3.9,1700
315,Subway,"ST Nagar, Central Chennai",NR,500
316,Subway,"ST Nagar, Central Chennai",NR,500
317,Mirchi Express,"EM Inn,Egmore, North Chennai",3.9,800
318,No. 9,"92 Sarovar Portico,Kilpauk, North Chennai",3.6,1200
319,Haven Sampoorna,SV South West Chennai,4.3,1200
320,Collage By Toscano,"TV Mall,Anna Nagar, North Chennai",4.4,300
321,Citrus Cafe,"CL Tree Hotel Shimona,Manapakkam, West Chennai",3.8,1600
322,Makers Of Milkshakes,MA South Chennai,3.9,400
323,Monkey Bar,"BA Nagar, North Chennai",4.4,2000
324,Taco Bell,"BV Mall,Anna Nagar, North Chennai",4.3,500
325,Chennai Kulfi,"KA Nagar, North Chennai",3.4,200
326,Millet Maagic Meal,"MA Nagar, North Chennai",4.6,300
327,Subway,"SA Nagar, North Chennai",3.0,500
328,Fromage,"FS Greenways,MRC Nagar, Central Chennai",4.3,1400
329,Spice Bar,BV West Chennai,3.7,1000
330,Hotel Saravana Bhavan,"BA Nagar, North Chennai",3.6,600
331,Writer's Cafe,"CV Mall,Anna Nagar, North Chennai",4.4,800
332,Parambriym,"PA Nagar, North Chennai",3.9,800
333,Brownie Heaven,"HV Mall,Anna Nagar, North Chennai",4.2,800
334,Cream Centre,"CA Nagar, North Chennai",4.5,1600
335,Dindigul Thalappakatti,TR West Chennai,3.9,700
336,Hotel Saravana Bhavan,BA South Chennai,3.7,600
337,House of Candy,"CF Vijaya Mall,Vadapalani, West Chennai",NR,300
338,Murugan Idli Shop,SV West Chennai,NR,300
339,Broken Bridge Cafe by Radio Room,"RS Greenways,MRC Nagar, Central Chennai",4.5,1200
340,Roll Over,"OS Thomas Mount, West Chennai",4.1,400
341,Cookie Man,"MF Vijaya Mall,Vadapalani, West Chennai",NR,300
342,Subway,"SV Mall,Anna Nagar, North Chennai",4.0,500
343,New Andhra Meals Hotel,HV West Chennai,3.5,700
344,Pizza Hut,HA South Chennai,4.0,800
345,Frozen Bottle,BV South West Chennai,4.0,400
346,Jaipurya - The Desi Gourmet,GE North Chennai,3.0,300
347,6th Avenue Restobar,"RA Nagar, North Chennai",4.0,1600
348,The Cake Shop,"ST Leela Palace,MRC Nagar, Central Chennai",4.8,1000
349,Cold Stone Creamery,CR Central Chennai,2.0,400
350,Frozen Bottle,BV West Chennai,3.5,400
351,Copper Chimney,"CP Market City,Velachery, South West Chennai",4.2,1500
352,Cream & Fudge,FS Central Chennai,4.3,400
353,Cilantro,"CL Royal Meridien Chennai,St. Thomas Mount, West Chennai",3.7,3000
354,Spiritz,"SR Towers,Anna Nagar, North Chennai",2.7,1100
355,China X,"XO Leela Palace,MRC Nagar, Central Chennai",4.3,3000
356,Ayur Square Veg Restaurant,RV South West Chennai,4.8,700
357,Frozen Bottle,"BA Nagar, North Chennai",3.8,400
358,Urban Spatula,"SA Nagar, North Chennai",4.2,900
359,Jardin - Absolute Veg,VE North Chennai,3.9,1200
360,Spectra,"ST Leela Palace,MRC Nagar, Central Chennai",4.2,2900
361,Rosewater,"RA Nagar, North Chennai",3.8,1500
362,Coal Barbecues,BV South West Chennai,4.1,1800
363,Superstar Pizza,"PA Nagar, North Chennai",4.3,800
364,Waves,"WR Chennai Egmore,Egmore, North Chennai",4.2,2100
365,Patissez,"PP Market City,Velachery, South West Chennai",4.2,1300
366,Samco,SV South West Chennai,3.9,1000
367,London Dessert Co.,CK North Chennai,2.6,500
368,Kaaraikudi,"KV Mall,Anna Nagar, North Chennai",3.3,800
369,Jamavar,"JT Leela Palace,MRC Nagar, Central Chennai",4.2,3000
370,Punjab Grill,"GP Market City,Velachery, South West Chennai",4.2,2000
371,Subway,SN Central Chennai,NR,500
372,Wow! Momo,MA West Chennai,5.0,400
373,B,"BL CH3MISTRYAnna Nagar, North Chennai",3.9,1300
374,Palmshore,PR West Chennai,4.3,1000
375,Chili’s American Grill and Bar,"BP Market City,Velachery, South West Chennai",4.1,1500
376,Guru Mess,MA South Chennai,3.9,500
377,MKC - Madras Kitchen Company,"CT Westin Chennai,Velachery, South West Chennai",4.2,1400
378,Mainland China,"CA Nagar, North Chennai",4.2,1200
379,Seasonal Tastes,"TT Westin Chennai,Velachery, South West Chennai",4.2,3600
380,Message In A Bottle,BE North Chennai,4.1,1600
381,Library Blu,"BT Leela Palace,MRC Nagar, Central Chennai",4.2,2300
382,Lobby Lounge,"LT Leela Palace,MRC Nagar, Central Chennai",4.0,2000
383,The Mist,"MA Nagar, North Chennai",4.2,1000
384,That Waffle Place,"PA Nagar, North Chennai",4.2,300
385,Grill Wagon,WE North Chennai,3.8,1200
386,Hotel Saravana Bhavan,"BK Nagar, West Chennai",NR,600
387,Willows,"WT Westin Chennai,Velachery, South West Chennai",4.1,2500
388,Hotel Saravana Bhavan,BP North Chennai,3.5,600
389,Milky,MW North Chennai,1.4,400
390,Sunset Grill,"GT Westin Chennai,Velachery, South West Chennai",4.1,2500
391,Hotel Saravana Bhavan,BE North Chennai,3.3,600
392,Top Roof Restaurant,RM West Chennai,4.0,500
393,Chai Waale,WS West Chennai,NR,200
394,Cold Stone Creamery,"CP Market City,Velachery, South West Chennai",3.5,400
395,Dindigul Thalappakatti,"TD IT Park,Ramapuram, West Chennai",4.5,700
396,Cook Gramam,"GA Nagar, North Chennai",4.3,500
397,Vasanta Bhavan,BA South Chennai,3.1,500
398,Subway,"SA Nagar, North Chennai",3.0,500
399,The Old Potion House,HA South Chennai,3.9,800
400,Lattice,LA South Chennai,4.1,1600
401,Wow! Momo,"MP Market City,Velachery, South West Chennai",3.4,400
402,Rasavid,RV South West Chennai,3.6,900
403,Chennai Kulfi,"KA Nagar, North Chennai",4.6,200
404,The Ma,"MM ShopAdyar, South Chennai",4.7,600
405,Haven Sampoorna,"SA Complex,Besant Nagar, South Chennai",4.4,1200
406,ABs - Absolute Barbecues,BA South Chennai,4.0,1800
407,Chidambaram New Moorthy Cafe,"CA Nagar, North Chennai",3.5,600
408,Steak House,"HH Sky Park,Anna Nagar, North Chennai",3.2,700
409,Buttons Cupcakes,"CB Nagar, South Chennai",5.0,300
410,Shout Bar & Cafe,CR West Chennai,4.0,1400
411,99 Bar and Grill,GA South Chennai,3.6,1500
412,Arusuvai Bharatha Vilas,"VA Nagar, North Chennai",2.8,800
413,The Tickle Truck,"TB Nagar, South Chennai",4.6,200
414,The Cycle Gap,GA South Chennai,4.0,1700
415,Murugan Idli Shop,SV West Chennai,3.0,300
416,Cake Waves,WS West Chennai,NR,500
417,Hotel Saravana Bhavan,BP West Chennai,4.2,600
418,Vasanta Bhavan,BE North Chennai,2.5,500
419,Lassi Factory,FS West Chennai,NR,200
420,99 Pancakes,"PB Nagar, South Chennai",4.7,300
421,Loaded Pizza,PA Central Chennai,NR,500
422,Barbeque Nation,NR West Chennai,3.9,1800
423,ABs - Absolute Barbecues,BV South West Chennai,4.3,1800
424,Kurtosh Bistro,"BB Nagar, South Chennai",4.5,700
425,Little Italy,"IB Nagar, South Chennai",4.4,1500
426,Sachin Ka Dhabba,"DA Nagar, North Chennai",3.7,800
427,Middle Of No Where,WM West Chennai,4.1,1200
428,Mash Resto Cafe,"CB Nagar, South Chennai",4.3,800
429,Sree Anjapper,AA South West Chennai,3.3,700
430,Superstar Pizza,"PB Nagar, South Chennai",4.2,800
431,Gelato Factory,FA Central Chennai,NR,600
432,Le Wrap Factorie,FC Central Chennai,NR,300
433,Gogo Momo,MA Central Chennai,NR,500
434,Gogo Thai,TA Central Chennai,NR,500
435,The Great Kabab Factory,"FR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,3000
436,Transit,TP North Chennai,3.3,800
437,Jonah's Bistro,"BB Nagar, South Chennai",4.1,1400
